geographic_school_district	city	county_name
Santa Rosa Consolidated Schools	Santa Rosa	Guadalupe County
School Of Dreams Academy	Los Lunas	Valencia County
Sequoyah School District	Albuquerque	Bernalillo County
Silver City Consolidated Schools	Silver City	Grant County
Six Directions Indigenous School	Gallup	McKinley County
Sky City Community School	Pueblo of Acoma	Cibola County
Socorro Consolidated Schools	Socorro	Socorro County
Solare Collegiate Charter School	Albuquerque	Bernalillo County
South Valley Prep	Albuquerque	Bernalillo County
Southwest Intermediate Learning Center	Albuquerque	Bernalillo
Southwest Primary Learning Center	Albuquerque	Bernalillo County
Southwest Secondary Learning Center	Albuquerque	Bernalillo County
Springer Municipal Schools	Springer	Colfax County
SW Aeronautics Mathematics And Science Academy	Albuquerque	Bernalillo County
Truth or Consequences Schools	T OR C	Sierra County
T'Iists'oozi'bi'olta School District	Crownpoint	McKinley County
Taos Academy	Taos	Taos County
Taos Day School	Taos	Taos County
Taos Integrated School Of The Arts	Taos	Taos County
Taos International School	Taos	Taos County
Taos Municipal Schools	Taos	Taos County
Tatum Municipal Schools	Tatum	Lea County
Te Tsu Geh Oweenge Day School	Santa Fe	Santa Fe County
Texico Municipal Schools	Texico	Curry County
The Ask Academy	Rio Rancho	Sandoval County
The Great Academy	Albuquerque	Bernalillo County
The Master Program	Santa Fe	Santa Fe County
Tierra Adentro	Albuquerque	Bernalillo County
Tierra Encantada Charter School	Santa Fe	Santa Fe County
To'hajiilee Day School	ToHajiilee	Bernalillo County
Tohaali' Community School	Newcomb	San Juan County
Tse'ii'ahi' Community School	Crownpoint	McKinley County
Tucumcari Public Schools	Tucumcari	Quay County
Tularosa Municipal Schools	Tularosa	Otero County
Turquoise Trail Charter School	Santa Fe	Santa Fe County
T`siya Day School	Zia Pueblo	Sandoval County
Uplift Community School	Gallup	McKinley
Vaughn Municipal Schools	Vaughn	Guadalupe County
Wagon Mound Public Schools	Wagon Mound	Mora County
Walatowa Charter High	JEMEZ PUEBLO	Sandoval County
West Las Vegas Public Schools	Las Vegas	San Miguel County
William W & Josephine Dorn Charter Community School	Albuquerque	Bernalillo
Wingate Elementary School	Ft. Wingate	McKinley County
Wingate High School	Fort Wingate	McKinley County
Zuni Public Schools	Zuni	McKinley County
