STATEFP10,PUMACE10,GEOID10,linguistically_isolated,crowded_conditions,child_w_disability,no_comp_or_no_internet,age,essential_hh,num_5_17,vulnerable_sector_hh,single_parent,in_poverty
01,00100,0100100,.042571411,.070518531,.043085143,.45951778,11.132646,.74871564,1.9382834,.20056169,.25676417,.25296253
01,00200,0100200,.0097402595,.077621453,.046657048,.23421717,11.321218,.76948053,2.0563972,.17751925,.18007456,.1313432
01,00301,0100301,.027525166,.073967807,.06137237,.14180811,11.145309,.74570829,2.0625396,.1524583,.23420706,.20459077
01,00302,0100302,.042838626,.11341543,.056642905,.27096567,10.624368,.75048608,2.1801038,.21244329,.31911859,.32482177
01,00400,0100400,.026640493,.13123949,.045662742,.46027294,11.249579,.75808561,2.1118433,.17283605,.19064312,.33239859
01,00500,0100500,.067762256,.10992642,.049874432,.34396616,11.013129,.78098428,2.2584043,.20214126,.21253911,.32317045
01,00600,0100600,.021122163,.098198853,.065747529,.3515496,10.835938,.76108915,1.9362879,.1981643,.22416376,.21506202
01,00700,0100700,.016590724,.06110527,.06490244,.44754061,11.444678,.74769247,2.0254118,.1635121,.17817502,.20160066
01,00800,0100800,.0092811137,.052686322,.046525583,.34568149,11.127575,.76845223,2.0203624,.19030283,.15613873,.17434092
01,00900,0100900,.0033510861,.046496321,.065106817,.35820717,11.100772,.74687332,2.0144815,.17802645,.22990844,.31195021
01,01000,0101000,.0095693776,.10714566,.062632367,.45007452,11.002588,.75347084,2.0778491,.18993646,.24731351,.26323634
01,01100,0101100,.0043222215,.069317631,.086066239,.29942191,11.282241,.75071585,1.9682317,.19893025,.23842455,.25873899
01,01200,0101200,.017180687,.028135344,.045499921,.1723848,11.088399,.73065203,2.0005517,.17180686,.14753324,.095597118
01,01301,0101301,.040083945,.06009094,.062189575,.44435117,10.8319,.72633791,2.0426722,.19951032,.54403639,.45778245
01,01302,0101302,.039263472,.10817763,.097278632,.47244787,10.386475,.71635526,2.1963851,.22562957,.49810451,.45633632
01,01303,0101303,.037134048,.062730014,.044560857,.16077054,10.989058,.71890855,2.1209841,.18218891,.1744637,.10732403
01,01304,0101304,.018569442,.063860759,.065543011,.23276503,10.974281,.77072889,1.8972211,.20814596,.30474588,.22445084
01,01305,0101305,.0039043168,.088534504,.08880946,.26015946,11.297333,.71580976,1.9439648,.18669233,.26681331,.1748694
01,01400,0101400,.013884523,.099811383,.091428272,.46489573,11.319711,.72718221,2.0569003,.20465262,.17976527,.29932934
01,01500,0101500,.0033953998,.059802849,.06818182,.39205915,11.156791,.74162102,2.069551,.1549288,.16818182,.1493976
01,01600,0101600,.01513888,.080377191,.051831421,.41715312,11.007249,.68971711,2.1199565,.1861569,.41715312,.32715377
01,01700,0101700,.00090375054,.10786263,.077180296,.50989604,11.117262,.69457752,2.0427926,.20343426,.35363761,.42706734
01,01800,0101800,.004912612,.11256495,.050779406,.50651866,11.142135,.75025982,1.997213,.12276807,.22810581,.25309399
01,01900,0101900,.027767643,.13202806,.045401111,.32048321,10.973732,.71745914,2.0565081,.14548624,.28152743,.24557136
01,02000,0102000,.023991244,.10797539,.071500413,.32543486,10.942019,.76310498,2.066294,.23760502,.39442077,.34214887
01,02100,0102100,.0051490604,.031911056,.078154206,.29533306,11.298318,.75012296,1.938408,.22350858,.22941196,.23502018
01,02200,0102200,.0077970191,.083957955,.073834755,.57435167,11.143275,.72034115,1.9814336,.14125097,.28340656,.31166539
01,02300,0102300,.00094544765,.069490403,.079606697,.41519335,11.118795,.74803817,2.0771484,.16687152,.26203081,.29668149
