var1,var2,correlation
poverty,poverty,0
poverty,linguistically_isolated,NA
poverty,children_disability,NA
poverty,vulnerable_job,NA
poverty,single_parent,NA
poverty,crowded_conditions,NA
poverty,no_computer_internet,NA
linguistically_isolated,poverty,0.04212542386000226
linguistically_isolated,linguistically_isolated,0
linguistically_isolated,children_disability,NA
linguistically_isolated,vulnerable_job,NA
linguistically_isolated,single_parent,NA
linguistically_isolated,crowded_conditions,NA
linguistically_isolated,no_computer_internet,NA
children_disability,poverty,0.03393747304543404
children_disability,linguistically_isolated,-0.01814849822631906
children_disability,children_disability,0
children_disability,vulnerable_job,NA
children_disability,single_parent,NA
children_disability,crowded_conditions,NA
children_disability,no_computer_internet,NA
vulnerable_job,poverty,0.040992445673005945
vulnerable_job,linguistically_isolated,-0.01430532657457148
vulnerable_job,children_disability,0.022030826718822588
vulnerable_job,vulnerable_job,0
vulnerable_job,single_parent,NA
vulnerable_job,crowded_conditions,NA
vulnerable_job,no_computer_internet,NA
single_parent,poverty,0.018415905703275004
single_parent,linguistically_isolated,0.007785790702407574
single_parent,children_disability,0.04014990132827578
single_parent,vulnerable_job,-0.0028169057530909036
single_parent,single_parent,0
single_parent,crowded_conditions,NA
single_parent,no_computer_internet,NA
crowded_conditions,poverty,0.054176249797891984
crowded_conditions,linguistically_isolated,0.009517011127942121
crowded_conditions,children_disability,-0.0014328747879096548
crowded_conditions,vulnerable_job,0.03145556150143125
crowded_conditions,single_parent,0.029505234580625345
crowded_conditions,crowded_conditions,0
crowded_conditions,no_computer_internet,NA
no_computer_internet,poverty,0.014164188050962812
no_computer_internet,linguistically_isolated,0.02105227674259913
no_computer_internet,children_disability,-0.02471192570674377
no_computer_internet,vulnerable_job,0.024429945122956223
no_computer_internet,single_parent,-0.011718150055523624
no_computer_internet,crowded_conditions,0.027464836281995253
no_computer_internet,no_computer_internet,0
