var1,var2,correlation
poverty,poverty,1
poverty,linguistically_isolated,NA
poverty,children_disability,NA
poverty,vulnerable_job,NA
poverty,single_parent,NA
poverty,crowded_conditions,NA
poverty,no_computer_internet,NA
linguistically_isolated,poverty,0.1389819319706248
linguistically_isolated,linguistically_isolated,1
linguistically_isolated,children_disability,NA
linguistically_isolated,vulnerable_job,NA
linguistically_isolated,single_parent,NA
linguistically_isolated,crowded_conditions,NA
linguistically_isolated,no_computer_internet,NA
children_disability,poverty,0.5286686668312219
children_disability,linguistically_isolated,-0.06716958084477485
children_disability,children_disability,1
children_disability,vulnerable_job,NA
children_disability,single_parent,NA
children_disability,crowded_conditions,NA
children_disability,no_computer_internet,NA
vulnerable_job,poverty,0.2458004406753557
vulnerable_job,linguistically_isolated,0.10871310050479645
vulnerable_job,children_disability,0.2184334656941289
vulnerable_job,vulnerable_job,1
vulnerable_job,single_parent,NA
vulnerable_job,crowded_conditions,NA
vulnerable_job,no_computer_internet,NA
single_parent,poverty,0.7134656738108094
single_parent,linguistically_isolated,0.02153492008561739
single_parent,children_disability,0.5211774978829042
single_parent,vulnerable_job,0.3324692389338652
single_parent,single_parent,1
single_parent,crowded_conditions,NA
single_parent,no_computer_internet,NA
crowded_conditions,poverty,0.3389084897154685
crowded_conditions,linguistically_isolated,0.4727077737954279
crowded_conditions,children_disability,0.0732719783942954
crowded_conditions,vulnerable_job,0.13226347910236028
crowded_conditions,single_parent,0.1902420508810974
crowded_conditions,crowded_conditions,1
crowded_conditions,no_computer_internet,NA
no_computer_internet,poverty,0.479974714600143
no_computer_internet,linguistically_isolated,0.36548004976359333
no_computer_internet,children_disability,0.13473014042573997
no_computer_internet,vulnerable_job,0.06845080047842575
no_computer_internet,single_parent,0.14341353443022742
no_computer_internet,crowded_conditions,0.49723038596296554
no_computer_internet,no_computer_internet,1
